order,FileName,图层显示,标签显示,填充色(RGB),线条色(RGB),点彩色(RGB),线条宽度,点大小,显示等级
0,九级路_polyline.shp,,,96;225;255,96;225;255,,1,,0
1,乡镇_point.shp,,,128;128;0,228;204;190,0;128;255,1,,0
2,乡镇村道_polyline.shp,,,251;254;222,128;128;0,,1,,1
3,交通出行_point.shp,,,255;255;170,128;128;0,128;128;128,1,,0
4,休闲娱乐_point.shp,,,211;0;107,136;0;25,,2,,0
5,住宿_point.shp,,,211;0;107,0;0;0,,1,,0
6,停车场_point.shp,,,0;225;255,0;225;255,,1,,0
7,公安交警_point.shp,,,211;0;107,0;0;0,255;0;0,2,4,2
8,兴趣区界_region.shp,,,153;237;234,0;0;0,,1,4,0
9,其他_point.shp,,,153;237;234,228;204;190,0;128;255,1,,1
10,其他设施_point.shp,,,153;237;234,0;0;0,,1,,1
11,其它道路_polyline.shp,,,211;0;107,0;0;0,,1,,0
12,功能区_region.shp,,,211;0;107,0;0;0,0;220;0,1,2,0
13,加油站_point.shp,,,211;0;107,0;0;0,,1,,0
14,医疗服务_point.shp,,,255;255;170,228;204;190,,1,,0
15,县_point.shp,,,211;190;107,160;0;0,,1,,0
16,县界_region.shp,,,211;0;107,0;0;0,,1,,0
17,县道_polyline.shp,A,A,255;0;0,0;0;0,,1,,0
18,国道_polyline.shp,A,A,211;0;107,0;128;255,,1,1,1
19,地级市_point.shp,A,,96;225;255,96;225;255,,1,,0
20,地铁_polyline.shp,A,A,128;128;0,0;0;0,,1,,0
21,城市快速路_polyline.shp,A,A,211;0;107,128;128;0,100;100;128,1,2,1
22,大厦_point.shp,,,255.255.255,196;165;123,128;128;128,1,,0
23,小区_point.shp,A,,96;225;255,96;225;255,,1,,1
24,岛屿_region.shp,,,255;255;170,228;204;190,,1,,1
25,市界_region.shp,,,211;0;107,0;0;0,,1,,0
26,建成区界_region.shp,,,211;0;107,0;128;255,,2,,0
27,收费站_point.shp,,,255;255;255,228;204;190,,1,,0
28,政府机关_point.shp,,,255;255;170,0;0;0,255;0;0,1,4,0
29,旅游_point.shp,,,255;255;170,228;204;190,,1,,0
30,机场_point.shp,,,211;0;107,0;0;0,,1,,0
31,村_point.shp,,,96;225;255,96;225;255,,1,3,0
32,水系_region.shp,,,211;190;107,160;0;0,0;220;0,1,3,0
33,汽车服务_point.shp,,,211;0;107,0;0;0,0;0;220,1,3,0
34,汽车站_point.shp,,,211;0;107,0;0;0,,1,,0
35,火车站_point.shp,,,211;0;107,0;0;0,,1,,0
36,省会_point.shp,,,211;0;107,0;0;0,,1,,0
37,省道_polyline.shp,A,A,255;255;170,128;128;0,,1,,0
38,科研教育_point.shp,,,128;128;0,128;128;0,128;128;128,1,,0
39,绿地_region.shp,,,96;225;255,96;225;255,,1,,0
40,行人道路_polyline.shp,,,211;0;107,0;0;0,,1,,0
41,购物_point.shp,,,255;255;170,228;204;190,0;0;220,1,3,0
42,金融服务_point.shp,,,211;0;107,228;204;190,,1,,0
43,铁路_polyline.shp,A,A,255;255;170,228;204;190,,1,,0
44,餐饮_point.shp,,,211;0;107,228;204;190,,1,,0
45,高速_polyline.shp,A,A,211;0;107,228;204;190,,1,,0
46,高速服务区_point.shp,,,211;0;107,228;204;190,,1,,0
